timestamp,beats per minute,data source
2017-10-08T00:16:45Z,72.0,Charge HR
2017-10-08T00:16:50Z,74.0,Charge HR
2017-10-08T00:16:55Z,76.0,Charge HR
2017-10-08T00:17:00Z,77.0,Charge HR
2017-10-08T00:17:05Z,79.0,Charge HR
2017-10-08T00:17:10Z,78.0,Charge HR
2017-10-08T00:17:15Z,77.0,Charge HR
2017-10-08T00:17:25Z,76.0,Charge HR
2017-10-08T00:17:40Z,77.0,Charge HR
2017-10-08T00:17:45Z,79.0,Charge HR
2017-10-08T00:17:50Z,75.0,Charge HR
2017-10-08T00:17:55Z,75.0,Charge HR
2017-10-08T00:18:00Z,75.0,Charge HR
2017-10-08T00:18:10Z,76.0,Charge HR
2017-10-08T00:18:25Z,77.0,Charge HR
2017-10-08T00:18:30Z,78.0,Charge HR
2017-10-08T00:18:35Z,79.0,Charge HR
2017-10-08T00:18:40Z,82.0,Charge HR
2017-10-08T00:18:45Z,80.0,Charge HR
2017-10-08T00:18:50Z,80.0,Charge HR
2017-10-08T00:19:05Z,77.0,Charge HR
2017-10-08T00:19:10Z,75.0,Charge HR
2017-10-08T00:19:15Z,74.0,Charge HR
2017-10-08T00:19:20Z,75.0,Charge HR
2017-10-08T00:19:25Z,76.0,Charge HR
2017-10-08T00:19:30Z,75.0,Charge HR
2017-10-08T00:19:35Z,73.0,Charge HR
2017-10-08T00:19:40Z,73.0,Charge HR
2017-10-08T00:19:55Z,71.0,Charge HR
2017-10-08T00:20:00Z,70.0,Charge HR
2017-10-08T00:20:05Z,69.0,Charge HR
2017-10-08T00:20:10Z,68.0,Charge HR
2017-10-08T00:20:15Z,67.0,Charge HR
2017-10-08T00:20:20Z,66.0,Charge HR
2017-10-08T00:20:25Z,68.0,Charge HR
2017-10-08T00:20:40Z,67.0,Charge HR
2017-10-08T00:20:55Z,68.0,Charge HR
2017-10-08T00:21:00Z,69.0,Charge HR
2017-10-08T00:21:05Z,68.0,Charge HR
2017-10-08T00:21:10Z,69.0,Charge HR
2017-10-08T00:21:20Z,70.0,Charge HR
2017-10-08T00:21:25Z,69.0,Charge HR
2017-10-08T00:21:40Z,70.0,Charge HR
2017-10-08T00:21:45Z,71.0,Charge HR
2017-10-08T00:22:00Z,72.0,Charge HR
2017-10-08T00:22:10Z,71.0,Charge HR
2017-10-08T00:22:15Z,70.0,Charge HR
2017-10-08T00:22:25Z,69.0,Charge HR
2017-10-08T00:22:30Z,68.0,Charge HR
2017-10-08T00:22:35Z,69.0,Charge HR
2017-10-08T00:22:45Z,71.0,Charge HR
2017-10-08T00:22:55Z,70.0,Charge HR
2017-10-08T00:23:00Z,71.0,Charge HR
2017-10-08T00:23:10Z,68.0,Charge HR
2017-10-08T00:23:15Z,64.0,Charge HR
2017-10-08T00:23:20Z,63.0,Charge HR
2017-10-08T00:23:25Z,64.0,Charge HR
2017-10-08T00:23:30Z,63.0,Charge HR
2017-10-08T00:23:35Z,65.0,Charge HR
2017-10-08T00:23:40Z,67.0,Charge HR
2017-10-08T00:23:50Z,67.0,Charge HR
2017-10-08T00:23:55Z,66.0,Charge HR
2017-10-08T00:24:00Z,67.0,Charge HR
2017-10-08T00:24:05Z,70.0,Charge HR
2017-10-08T00:24:20Z,70.0,Charge HR
2017-10-08T00:24:35Z,68.0,Charge HR
2017-10-08T00:24:40Z,70.0,Charge HR
2017-10-08T00:24:45Z,71.0,Charge HR
2017-10-08T00:24:50Z,72.0,Charge HR
2017-10-08T00:24:55Z,74.0,Charge HR
2017-10-08T00:25:00Z,76.0,Charge HR
2017-10-08T00:25:10Z,80.0,Charge HR
2017-10-08T00:25:15Z,79.0,Charge HR
2017-10-08T00:25:20Z,75.0,Charge HR
2017-10-08T00:25:25Z,75.0,Charge HR
2017-10-08T00:25:30Z,76.0,Charge HR
2017-10-08T00:25:35Z,81.0,Charge HR
2017-10-08T00:25:40Z,85.0,Charge HR
2017-10-08T00:25:45Z,88.0,Charge HR
2017-10-08T00:25:55Z,88.0,Charge HR
2017-10-08T00:26:05Z,85.0,Charge HR
2017-10-08T00:26:10Z,84.0,Charge HR
2017-10-08T00:26:15Z,82.0,Charge HR
2017-10-08T00:26:20Z,80.0,Charge HR
2017-10-08T00:26:25Z,76.0,Charge HR
2017-10-08T00:26:30Z,77.0,Charge HR
2017-10-08T00:26:35Z,78.0,Charge HR
2017-10-08T00:26:40Z,81.0,Charge HR
2017-10-08T00:26:45Z,84.0,Charge HR
2017-10-08T00:26:50Z,82.0,Charge HR
2017-10-08T00:26:55Z,78.0,Charge HR
2017-10-08T00:27:00Z,77.0,Charge HR
2017-10-08T00:27:05Z,78.0,Charge HR
2017-10-08T00:27:10Z,77.0,Charge HR
2017-10-08T00:27:15Z,76.0,Charge HR
2017-10-08T00:27:20Z,77.0,Charge HR
2017-10-08T00:27:35Z,77.0,Charge HR
2017-10-08T00:27:45Z,78.0,Charge HR
2017-10-08T00:27:55Z,77.0,Charge HR
2017-10-08T00:28:05Z,73.0,Charge HR
2017-10-08T00:28:10Z,71.0,Charge HR
2017-10-08T00:28:15Z,70.0,Charge HR
2017-10-08T00:28:20Z,69.0,Charge HR
2017-10-08T00:28:25Z,70.0,Charge HR
2017-10-08T00:28:30Z,67.0,Charge HR
2017-10-08T00:28:35Z,68.0,Charge HR
2017-10-08T00:28:45Z,67.0,Charge HR
2017-10-08T00:29:00Z,67.0,Charge HR
2017-10-08T00:29:10Z,69.0,Charge HR
2017-10-08T00:29:15Z,71.0,Charge HR
2017-10-08T00:29:20Z,73.0,Charge HR
2017-10-08T00:29:25Z,76.0,Charge HR
2017-10-08T00:29:30Z,78.0,Charge HR
2017-10-08T00:29:35Z,79.0,Charge HR
2017-10-08T00:29:40Z,77.0,Charge HR
2017-10-08T00:29:45Z,76.0,Charge HR
2017-10-08T00:29:50Z,77.0,Charge HR
2017-10-08T00:29:55Z,76.0,Charge HR
2017-10-08T00:30:05Z,75.0,Charge HR
2017-10-08T00:30:10Z,76.0,Charge HR
2017-10-08T00:30:15Z,77.0,Charge HR
2017-10-08T00:30:20Z,78.0,Charge HR
2017-10-08T00:30:25Z,76.0,Charge HR
2017-10-08T00:30:30Z,75.0,Charge HR
2017-10-08T00:30:40Z,74.0,Charge HR
2017-10-08T00:30:45Z,71.0,Charge HR
2017-10-08T00:30:55Z,72.0,Charge HR
2017-10-08T00:31:10Z,71.0,Charge HR
2017-10-08T00:31:25Z,70.0,Charge HR
2017-10-08T00:31:30Z,69.0,Charge HR
2017-10-08T00:31:40Z,67.0,Charge HR
2017-10-08T00:31:45Z,66.0,Charge HR
2017-10-08T00:31:50Z,65.0,Charge HR
2017-10-08T00:32:05Z,66.0,Charge HR
2017-10-08T00:32:10Z,67.0,Charge HR
2017-10-08T00:32:15Z,65.0,Charge HR
2017-10-08T00:32:20Z,66.0,Charge HR
2017-10-08T00:32:25Z,65.0,Charge HR
2017-10-08T00:32:35Z,69.0,Charge HR
2017-10-08T00:32:40Z,72.0,Charge HR
2017-10-08T00:32:45Z,73.0,Charge HR
2017-10-08T00:32:50Z,72.0,Charge HR
2017-10-08T00:32:55Z,76.0,Charge HR
2017-10-08T00:33:10Z,75.0,Charge HR
